College,Latitude,Longitude,Type,City,State,Locale,Locale (specific),Religious affil,USNews Classification,USNews Rank,number undergraduates,number grad students,percent returning after yr 1,Students per faculty  member,Total apps,Admitted,Enrolled,Draw rate,App fee,percent apps male,percent apps female,Male admit rate (percent) ,Female admit rt,Overall admit rate (percent),Overall yield (percent),percent submitted SAT,SAT 25th percentile,SAT 75th percentile,percent who submitted ACT,ACT 25th,ACT 75th,percent from top tenth of HS class,percent from top quarter,Percent who had unweigted GPA of 4.0,Percent who had unw GPA between 3.75 and 3.99,Percent who had GPA between 3.50 and 3.74,number ED Apps,number ED admits,ED admit rate (percent),Admit rate all non ED-applications,percent of apps filed ED,percent of the class filled with ED applicants,Other yield rate,percent of all other apps who enroll,Offered spot on WL,Accepted WL,Admitted from WL,percent of class from WL,In-state total cost,Out-of-state total cost,Private cost,percent of students received Pell grant,percent received a federal student loan,percent applied for aid,percent qual for aid,Avg percent of need met,percent no need,number full-pay undergrads,percent full-pay,Avg net price for family income <30K,30-48K,48-75K,75-110K,>110K,Median student debt,percent of students with no need who rec merit schol (1st year),Avg merit schol 1st year,percent of students with no need who rec merit schol (after 1st year),Avg merit schol after 1st year,percent of students with no need who receive merit scholarships (total undergrads),Avg merit scholarship (total undergrads),number undergraduates.1,percent of students first-generation,percent of students in-state,percent of students international,percent of students registered with disabilities,percent of students male,percent of students female,percent of students American Indian or Alaskan native,percent Asian,percent Black,percent Hispanic/Latino,percent Native Hawaiian/Pac Islander,percent Two or more races,percent Unknown,percent White,Reported crimes within student housing per 1000 residents,Reported rapes within student housing per 1000 residents,number first-year students whose family income was <30K,30-48K.1,48-75K.,75-110K.1,>110K.1,number Others,4-yr grad rate,5-yr grad rate,6-yr grad rate,Male 6-year graduation rate,Female ,25th percentile,75th percentile,Median salary 10 years after entry
Smith College,42.316156,-72.640331,Private; non-profit,Northampton,Massachusetts,Suburb,Suburb (large city),No religious affiliation,National Liberal Arts College,13,2526,363.0,94,7,6064,1814,676,1,0,0,100,,30,30,37.0,34.0,1370,1530,20.0,31.0,34.0,72.0,96.0,67,17,13,513,295.0,58.0,27.0,8.0,44.0,25.0,7.0,1717.0,891.0,0.0,0,,,78438.0,22.0,38.0,65.0,58.0,100.0,42.0,881.0,34.0,11678.0,16389.0,18903.0,26619.0,45455.0,18000.0,21.0,19799.0,17.0,17692.0,18,17692,2526,19.0,18,15,,0,100,0,10,7,14,0,5,3,47,1.0,1.0,25.0,46.0,41.0,28.0,102.0,434.0,85,90,91,100.0,91.0,25000.0,57000.0,46200.0
Southern Methodist University,32.841065,-96.784614,Private; non-profit,Dallas,Texas,Suburb,Suburb (large city),United Methodist,National University,72,6679,5114.0,91,11,15685,8333,1572,0,60,46,54,50.0,55,53,19.0,16.0,1340,1510,23.0,31.0,34.0,,,,,,637,350.0,55.0,53.0,4.0,22.0,15.0,8.0,1787.0,821.0,236.0,15,,,81074.0,11.0,22.0,41.0,31.0,85.0,69.0,1809.0,27.0,32478.0,31208.0,31744.0,35728.0,47278.0,17750.0,61.0,28950.0,61.0,31101.0,61,31101,6679,16.0,41,6,12.0,51,49,0,8,5,13,0,4,1,64,1.0,1.0,62.0,54.0,39.0,62.0,237.0,1118.0,75,82,82,78.0,87.0,34800.0,83500.0,60700.0
Stanford University,37.428230,-122.168861,Private; non-profit,Stanford,California,Suburb,Suburb (large city),No religious affiliation,National University,3,6994,10253.0,99,4,55471,2190,1757,20,90,51,49,4.0,4,4,80.0,15.0,1470,1570,11.0,34.0,35.0,96.0,3.0,69,28,3, ,,,,,,,,652.0,535.0,61.0,3,,,78898.0,19.0,4.0,56.0,49.0,100.0,51.0,3500.0,50.0,-1975.0,-4196.0,-1270.0,9562.0,42108.0,10207.0,0.0,0.0,0.0,18644.0,0,18644,6994,30.0,38,11,19.0,49,51,1,25,7,17,0,10,0,29,3.0,1.0,104.0,76.0,108.0,30.0,79.0,1360.0,77,91,96,94.0,97.0,53700.0,146800.0,94000.0
Stevens Institute of Technology,40.745089,-74.025767,Private; non-profit,Hoboken,New Jersey,Suburb,Suburb (large city),No religious affiliation,National University,83,3641,3624.0,94,12,11320,5965,1091,0,70,65,35,49.0,59,53,18.0,38.0,1370,1510,11.0,31.0,34.0,,,,,, ,,,,,,,,,,,,,,75770.0,18.0,57.0,,,,,,,24418.0,24774.0,32444.0,34497.0,44482.0,25000.0,,,,, ,,3641,15.0,68,3,5.0,79,21,0,18,2,13,0,0,5,59,1.0,0.0,78.0,59.0,62.0,90.0,274.0,528.0,63,86,87,87.0,88.0,56000.0,93000.0,89200.0
Stony Brook University,40.907908,-73.120446,Public,Stony Brook,New York,Suburb,Suburb (large city),No religious affiliation,National University,77,17767,8905.0,89,19,38826,18659,3416,0,50,44,56,45.0,50,48,18.0,37.0,1300,1480,6.0,29.0,33.0,44.0,77.0,39,28,21, ,,,,,,,,5741.0,2900.0,1166.0,34,29273.0,47193.0,,36.0,31.0,73.0,59.0,64.0,41.0,4805.0,29.0,11463.0,13461.0,19219.0,21357.0,23904.0,15000.0,41.0,5030.0,23.0,5425.0,26,5425,17767,36.0,94,10,6.0,50,50,0,30,7,14,0,3,7,30,1.0,0.0,656.0,244.0,378.0,181.0,358.0,1599.0,64,76,78,75.0,81.0,29200.0,70300.0,57600.0
Swarthmore College,39.903568,-75.352915,Private; non-profit,Swarthmore,Pennsylvania,Suburb,Suburb (large city),No religious affiliation,National Liberal Arts College,4,1584,,98,7,13012,1013,454,6,60,41,59,9.0,7,8,45.0,39.0,1430,1560,21.0,33.0,35.0,93.0,100.0,,,,984,234.0,24.0,6.0,8.0,52.0,28.0,2.0,,,,,,,75793.0,22.0,12.0,59.0,52.0,100.0,48.0,757.0,46.0,10638.0,11885.0,11560.0,20167.0,46875.0,15000.0,4.0,45110.0,4.0,49125.0,4,49125,1584,27.0,14,15,14.0,49,51,0,18,8,13,0,9,4,33,7.0,4.0,31.0,23.0,31.0,11.0,31.0,327.0,87,93,94,95.0,93.0,30600.0,72000.0,56700.0
Tufts University,42.408569,-71.117887,Private; non-profit,Medford,Massachusetts,Suburb,Suburb (large city),No religious affiliation,National University,32,5828,5971.0,96,10,31198,3566,1800,4,75,40,60,12.0,11,11,50.0,32.0,1440,1550,23.0,33.0,35.0,84.0,97.0,,,, ,,,,,,,,2579.0,1264.0,0.0,0,,,81700.0,12.0,20.0,43.0,36.0,100.0,64.0,4137.0,63.0,8299.0,8970.0,15050.0,26122.0,55841.0,15800.0,2.0,1730.0,1.0,1379.0,2,1379,5828,15.0,26,11,14.0,46,54,0,15,4,8,0,6,5,51,1.0,0.0,58.0,72.0,60.0,78.0,269.0,1263.0,89,93,94,93.0,95.0,46600.0,100200.0,75800.0
United States Naval Academy,38.981866,-76.484273,Public,Annapolis,Maryland,Suburb,Suburb (large city),No religious affiliation,National Liberal Arts College,6,4538,,97,8,16265,1374,1183,10,0,70,30,8.0,8,8,86.0,69.0,1200,1420,48.0,26.0,32.0,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,4538,,5,1,,72,28,0,8,7,12,0,10,1,61,,,,,,,,1183.0,89,91,91,91.0,93.0,,,
University at Buffalo,43.000746,-78.789098,Public,Buffalo,New York,Suburb,Suburb (large city),No religious affiliation,National University,89,21760,10002.0,86,14,30750,21552,4309,0,50,47,53,68.0,72,70,20.0,29.0,1180,1360,5.0,25.0,31.0,29.0,61.0,31,15,23, ,,,,,,,,1948.0,74.0,27.0,1,30240.0,48160.0,,32.0,39.0,74.0,57.0,45.0,43.0,7136.0,35.0,15006.0,18436.0,20447.0,20515.0,23632.0,14000.0,23.0,4050.0,8.0,3991.0,11,3991,21760,28.0,98,13,4.0,55,45,0,16,8,8,0,3,5,47,1.0,0.0,754.0,357.0,400.0,361.0,657.0,1780.0,60,71,74,69.0,81.0,31100.0,67800.0,52600.0
University of Central Florida,28.602728,-81.200704,Public,Orlando,Florida,Suburb,Suburb (large city),No religious affiliation,National University,137,58940,10031.0,91,31,48929,17797,7090,1,30,41,59,37.0,36,36,40.0,73.0,1170,1350,27.0,25.0,30.0,,,,,,  ,,,,,,,,,,,,24036.0,40135.0,,35.0,26.0,78.0,57.0,63.0,43.0,15308.0,35.0,5517.0,7073.0,10032.0,14265.0,15761.0,15000.0,41.0,2612.0,13.0,3063.0,19,3063,58940,35.0,92,3,,45,55,0,7,10,29,0,4,1,46,0.0,0.0,932.0,546.0,689.0,308.0,447.0,4168.0,46,69,75,70.0,79.0,27400.0,58300.0,45400.0
University of Connecticut,41.807621,-72.254056,Public,Storrs,Connecticut,Suburb,Suburb (large city),No religious affiliation,National University,67,18585,8433.0,94,16,36753,20433,3663,0,80,44,56,50.0,60,56,18.0,43.0,1230,1430,7.0,27.0,33.0,51.0,84.0,,,,  ,,,,,,,,,,,,35764.0,58432.0,,23.0,36.0,71.0,54.0,81.0,46.0,5105.0,29.0,13586.0,15226.0,20925.0,26188.0,29840.0,19500.0,48.0,11959.0,36.0,10516.0,38,10832,18585,27.0,68,10,17.0,48,52,0,12,7,13,0,4,2,53,1.0,0.0,305.0,192.0,233.0,137.0,436.0,2360.0,72,82,83,79.0,87.0,34700.0,73100.0,58400.0
University of Delaware,39.677956,-75.750900,Public,Newark,Delaware,Suburb,Suburb (large city),No religious affiliation,National University,89,19047,4130.0,91,15,34111,24679,4617,0,75,38,62,69.0,75,72,19.0,31.0,1155,1340,6.0,26.0,31.0,24.0,53.0,45,24,18, ,,,,,,,,1861.0,212.0,14.0,0,31562.0,53422.0,,15.0,45.0,71.0,50.0,55.0,50.0,6043.0,35.0,13485.0,14319.0,16896.0,20537.0,23192.0,21000.0,55.0,10542.0,21.0,9386.0,27,9386,19047,17.0,42,6,12.0,42,58,0,5,6,9,0,4,3,66,1.0,0.0,207.0,175.0,145.0,139.0,311.0,3640.0,73,82,84,79.0,84.0,36300.0,71800.0,57000.0
University of Maryland-College Park,38.986793,-76.942586,Public,College Park,Maryland,Suburb,Suburb (large city),No religious affiliation,National University,55,29905,10232.0,95,17,50183,26109,6072,0,75,47,53,48.0,56,52,23.0,34.0,1330,1510,9.0,30.0,34.0,73.0,89.0,94,0,3, ,,,,,,,,0.0,0.0,0.0,0,28075.0,55756.0,,18.0,23.0,60.0,38.0,63.0,62.0,13356.0,47.0,6739.0,10357.0,17280.0,22100.0,25664.0,16750.0,36.0,7017.0,20.0,7011.0,23,7011,29905,22.0,75,4,,52,48,0,19,12,10,0,5,4,47,1.0,0.0,280.0,254.0,198.0,176.0,450.0,4714.0,72,85,88,87.0,89.0,36400.0,76900.0,62900.0
University of Massachusetts-Amherst,42.386443,-72.529976,Public,Amherst,Massachusetts,Suburb,Suburb (large city),No religious affiliation,National University,67,23907,7141.0,91,17,42540,27877,4872,0,85,46,54,58.0,72,66,17.0,26.0,1250,1460,5.0,28.0,33.0,31.0,69.0,52,25,16, ,,,,,,,,4056.0,2361.0,1055.0,22,32434.0,52959.0,,21.0,45.0,76.0,50.0,82.0,50.0,4792.0,22.0,6061.0,7647.0,11340.0,17540.0,24211.0,21000.0,64.0,6943.0,53.0,6267.0,56,6267,23907,22.0,80,7,9.0,49,51,0,11,5,8,0,3,4,61,1.0,0.0,352.0,302.0,254.0,264.0,855.0,2845.0,77,83,84,82.0,86.0,31300.0,66800.0,51400.0
University of Notre Dame,41.699280,-86.238899,Private; non-profit,Notre Dame,Indiana,Suburb,Suburb (large city),Roman Catholic,National University,18,8689,3951.0,98,9,23642,3562,2059,4,75,48,52,16.0,14,15,58.0,33.0,1410,1550,36.0,32.0,35.0,90.0,98.0,,,, ,,,,,,,,,,,,,,78347.0,10.0,29.0,58.0,48.0,100.0,52.0,4311.0,48.0,10918.0,8482.0,14582.0,22568.0,46178.0,19000.0,4.0,21265.0,9.0,15543.0,8,15543,8689,10.0,7,6,8.0,52,48,0,5,3,11,0,6,1,68,1.0,0.0,111.0,93.0,69.0,95.0,479.0,1212.0,90,96,96,95.0,97.0,44200.0,92000.0,78400.0
Vassar College,41.686822,-73.893742,Private; non-profit,Poughkeepsie,New York,Suburb,Suburb (large city),No religious affiliation,National Liberal Arts College,13,2421,,96,8,10884,2193,679,2,65,29,71,25.0,18,20,31.0,31.0,1420,1540,20.0,32.0,34.0,73.0,95.0,,,,754,301.0,40.0,19.0,7.0,44.0,20.0,4.0,1526.0,634.0,96.0,14,,,80830.0,21.0,43.0,63.0,54.0,100.0,46.0,1171.0,46.0,10697.0,14383.0,23695.0,23770.0,52260.0,17791.0,0.0,,0.0,,0,0,2421,14.0,30,9,20.0,38,62,0,11,4,8,0,9,1,58,15.0,7.0,64.0,36.0,30.0,38.0,179.0,332.0,87,92,93,92.0,93.0,23400.0,61300.0,54600.0
Villanova University,40.034901,-75.337349,Private; non-profit,Villanova,Pennsylvania,Suburb,Suburb (large city),Roman Catholic,National University,51,6779,3983.0,96,11,24410,6162,1772,1,80,44,56,27.0,24,25,29.0,28.0,1350,1490,17.0,31.0,34.0,72.0,95.0,30,37,23,1288,768.0,60.0,24.0,5.0,43.0,19.0,4.0,4337.0,2073.0,56.0,3,,,77806.0,11.0,37.0,57.0,46.0,80.0,54.0,3176.0,47.0,17291.0,14241.0,20503.0,28723.0,47834.0,25000.0,7.0,30826.0,13.0,28302.0,11,28302,6779,13.0,17,2,9.0,47,53,0,6,5,9,0,3,1,72,1.0,1.0,105.0,76.0,57.0,89.0,355.0,1090.0,88,90,91,89.0,93.0,50300.0,90900.0,77900.0
Washington University in St Louis,38.648987,-90.312553,Private; non-profit,Saint Louis,Missouri,Suburb,Suburb (large city),No religious affiliation,National University,15,7404,8369.0,97,7,33634,4373,1980,3,75,45,55,14.0,13,13,45.0,25.0,1490,1570,41.0,33.0,35.0,86.0,99.0,67,23,8,3754,1098.0,29.0,11.0,11.0,55.0,27.0,3.0,0.0,3981.0,0.0,0,,,81620.0,14.0,14.0,44.0,41.0,100.0,59.0,4175.0,57.0,3263.0,4928.0,9248.0,27028.0,50273.0,15500.0,3.0,32844.0,4.0,33316.0,4,33316,7404,11.0,12,7,12.0,47,53,0,18,9,10,0,5,2,48,1.0,0.0,96.0,95.0,79.0,87.0,261.0,1362.0,87,92,93,91.0,95.0,40600.0,92100.0,70100.0
Wellesley College,42.293494,-71.305820,Private; non-profit,Wellesley,Massachusetts,Suburb,Suburb (large city),No religious affiliation,National Liberal Arts College,5,2391,,97,7,7663,1240,606,3,0,0,100,,16,16,49.0,36.0,1400,1540,23.0,31.0,34.0,85.0,100.0,,,,773,310.0,40.0,13.0,10.0,51.0,32.0,4.0,3019.0,1291.0,0.0,0,,,81090.0,22.0,17.0,66.0,59.0,100.0,41.0,959.0,41.0,5206.0,5759.0,10758.0,28001.0,51814.0,10000.0,0.0,0.0,0.0,31626.0,0,31626,2391,17.0,13,13,19.0,0,100,0,23,7,14,0,6,1,35,3.0,0.0,60.0,31.0,37.0,18.0,59.0,401.0,84,90,92,,92.0,35300.0,72100.0,60800.0
Elon University,36.103067,-79.502676,Private; non-profit,Elon,North Carolina,Suburb,Suburb (midsize city),No religious affiliation,National University,89,6277,811.0,91,13,17834,13859,1591,0,60,36,64,76.0,79,78,11.0,,0,0,,,,,,,,,247,221.0,89.0,78.0,1.0,14.0,10.0,8.0,2230.0,594.0,66.0,4,,,55647.0,9.0,26.0,49.0,33.0,68.0,67.0,2235.0,37.0,24048.0,22133.0,30596.0,38312.0,46055.0,19500.0,49.0,6767.0,44.0,7326.0,45,7326,6277,9.0,19,2,10.0,40,60,0,2,6,6,0,3,1,80,1.0,0.0,62.0,72.0,41.0,91.0,363.0,962.0,79,83,83,78.0,87.0,32400.0,68000.0,51900.0
Hamilton College,43.052720,-75.406036,Private; non-profit,Clinton,New York,Suburb,Suburb (midsize city),No religious affiliation,National Liberal Arts College,15,1998,,94,9,9380,1320,533,3,60,42,58,15.0,14,14,40.0,32.0,1410,1540,20.0,33.0,35.0,,,,,,651,267.0,41.0,12.0,7.0,50.0,25.0,3.0,2964.0,1782.0,0.0,0,,,76700.0,18.0,34.0,59.0,51.0,100.0,49.0,1002.0,49.0,7555.0,8702.0,14779.0,20047.0,42090.0,14750.0,0.0,,0.0,,0,0,1998,13.0,32,6,8.0,46,54,0,7,4,10,0,5,3,65,7.0,4.0,39.0,25.0,23.0,30.0,102.0,314.0,87,91,92,91.0,92.0,31500.0,75700.0,60200.0
University of California-Santa Barbara,34.413963,-119.848946,Public,Santa Barbara,California,Suburb,Suburb (midsize city),No religious affiliation,National University,32,23337,2965.0,92,18,105641,30824,4900,1,70,45,55,26.0,32,29,16.0,,0,0,,,,100.0,100.0,79,14,5, ,,,,,,,,14076.0,9762.0,2093.0,43,37720.0,67474.0,,32.0,17.0,64.0,51.0,78.0,49.0,10130.0,45.0,11022.0,12305.0,14720.0,20565.0,30833.0,13000.0,4.0,9312.0,6.0,8125.0,5,8125,23337,42.0,91,13,5.0,45,55,0,18,2,25,0,9,3,30,1.0,0.0,670.0,278.0,346.0,95.0,246.0,3265.0,70,83,85,82.0,88.0,28400.0,66800.0,55300.0
University of Oklahoma-Norman Campus,35.198635,-97.445250,Public,Norman,Oklahoma,Suburb,Suburb (midsize city),No religious affiliation,National University,127,21329,6311.0,88,20,17318,14760,4582,0,40,42,58,83.0,86,85,31.0,21.0,1150,1340,52.0,23.0,29.0,31.0,62.0,12,33,25, ,,,,,,,,2040.0,2040.0,165.0,4,31293.0,47097.0,,23.0,33.0,65.0,47.0,85.0,53.0,7747.0,42.0,14875.0,16097.0,19864.0,23882.0,26692.0,15500.0,22.0,3260.0,19.0,2974.0,20,2974,21329,28.0,55,3,4.0,49,51,3,7,5,11,0,9,1,60,1.0,1.0,345.0,202.0,210.0,169.0,269.0,3387.0,50,72,76,72.0,79.0,30600.0,68700.0,51100.0
Denison University,40.073376,-82.522759,Private; non-profit,Granville,Ohio,Suburb,Suburb (small city),No religious affiliation,National Liberal Arts College,39,2262,,90,9,9513,2689,654,1,0,45,55,29.0,28,28,24.0,28.0,1230,1430,23.0,28.0,32.0,,,,,,710,304.0,43.0,27.0,7.0,46.0,15.0,4.0,1568.0,285.0,16.0,2,,,73900.0,17.0,39.0,65.0,51.0,100.0,49.0,116.0,5.0,12160.0,17948.0,20322.0,30365.0,41966.0,20541.0,89.0,18027.0,90.0,17589.0,90,17589,2262,17.0,28,16,12.0,47,53,0,3,6,8,0,4,3,60,6.0,2.0,38.0,29.0,25.0,43.0,152.0,367.0,77,81,81,79.0,83.0,29800.0,63200.0,48800.0
Skidmore College,43.0959,-73.7852,Private; non-profit,Saratoga Springs,New York,Suburb,Suburb (small city),No religious affiliation,National Liberal Arts College,39,2649,1.0,91,8,11176,3419,719,1,65,40,60,28.0,32,31,21.0,26.0,1270,1440,11.0,29.0,33.0,33.0,70.0,,,,733,388.0,53.0,29.0,7.0,50.0,12.0,3.0,2145.0,1044.0,52.0,7,,,79250.0,16.0,33.0,56.0,52.0,99.0,48.0,1274.0,48.0,11889.0,13382.0,17195.0,26939.0,42836.0,19350.0,1.0,15000.0,1.0,16364.0,1,16364,2649,15.0,39,10,15.0,40,60,0,5,6,10,0,5,2,62,4.0,2.0,46.0,23.0,31.0,29.0,176.0,414.0,81,83,84,84.0,83.0,26100.0,63200.0,49700.0
University of California-Davis,38.538022,-121.761734,Public,Davis,California,Suburb,Suburb (small city),No religious affiliation,National University,38,30962,7652.0,92,20,87120,42475,7482,0,70,46,54,45.0,52,49,18.0,,0,0,,,,,,65,21,9, ,,,,,,,,,,,,37603.0,67357.0,,34.0,24.0,,,,,,,9739.0,11011.0,14150.0,17020.0,29336.0,11334.0,,,,, , ,30962,41.0,95,16,,39,61,0,28,2,24,0,6,1,22,1.0,0.0,815.0,438.0,494.0,221.0,418.0,5096.0,62,84,87,84.0,89.0,30700.0,73000.0,58200.0
University of New Hampshire-Main Campus,43.138862,-70.937208,Public,Durham,New Hampshire,Suburb,Suburb (small city),No religious affiliation,National University,137,12101,2550.0,86,16,20149,17473,2795,0,65,40,60,82.0,90,87,16.0,34.0,1110,1300,3.0,25.0,31.0,23.0,51.0,21,16,17,  ,,,,,,,,,,,,34978.0,53218.0,,20.0,61.0,82.0,65.0,68.0,35.0,1575.0,14.0,13613.0,14441.0,17158.0,21824.0,28478.0,23136.0,73.0,6973.0,56.0,7003.0,60,7003,12101,17.0,45,2,10.0,45,55,0,3,1,4,0,2,5,83,3.0,1.0,101.0,138.0,79.0,134.0,295.0,2048.0,70,77,78,76.0,79.0,32500.0,65300.0,51400.0
University of Virginia-Main Campus,38.033494,-78.508095,Public,Charlottesville,Virginia,Suburb,Suburb (small city),No religious affiliation,National University,25,16723,8002.0,97,15,47971,9951,3889,2,75,44,56,20.0,21,21,39.0,52.0,1380,1500,21.0,32.0,35.0,90.0,98.0,90,6,3,2197,960.0,44.0,20.0,5.0,25.0,33.0,6.0,8690.0,4924.0,86.0,2,36314.0,70696.0,,14.0,23.0,62.0,34.0,100.0,66.0,9983.0,61.0,8987.0,7775.0,14589.0,21123.0,28880.0,15750.0,4.0,6381.0,8.0,6309.0,7,6309,16723,16.0,70,4,10.0,44,56,0,16,7,7,0,5,5,56,1.0,0.0,158.0,136.0,100.0,143.0,455.0,2897.0,89,93,94,92.0,95.0,37300.0,81100.0,61200.0
William & Mary,37.271133,-76.716614,Public,Williamsburg,Virginia,Suburb,Suburb (small city),No religious affiliation,National University,41,6240,2517.0,95,11,17475,6386,1684,1,75,37,63,42.0,33,37,26.0,51.0,1360,1520,19.0,31.0,34.0,77.0,95.0,86,10,3,1184,581.0,49.0,36.0,7.0,35.0,19.0,7.0,4720.0,2417.0,38.0,2,40624.0,63850.0,,12.0,23.0,56.0,38.0,81.0,62.0,3470.0,57.0,3579.0,5717.0,10665.0,17295.0,34686.0,16750.0,4.0,13846.0,9.0,9603.0,8,9603,6240,13.0,69,5,14.0,41,59,0,9,7,9,0,6,5,59,2.0,0.0,70.0,58.0,43.0,55.0,134.0,1324.0,86,91,91,89.0,93.0,35600.0,76200.0,58500.0
Bowdoin College,43.907515,-69.963600,Private; non-profit,Brunswick,Maine,Town,Town,No religious affiliation,National Liberal Arts College,6,1832,,98,8,9325,822,517,7,65,43,57,10.0,8,9,63.0,,0,0,,,,84.0,97.0,,,,960,263.0,27.0,7.0,10.0,51.0,45.0,3.0,0.0,0.0,0.0,0,,,76310.0,17.0,11.0,54.0,48.0,100.0,52.0,957.0,49.0,4531.0,5803.0,10270.0,19496.0,43454.0,14448.0,4.0,1000.0,5.0,1000.0,5,1000,1832,19.0,10,7,7.0,49,51,0,9,8,11,0,8,0,56,20.0,3.0,28.0,15.0,27.0,12.0,27.0,408.0,89,93,94,92.0,95.0,36300.0,77300.0,65500.0
Bucknell University,40.955161,-76.885280,Private; non-profit,Lewisburg,Pennsylvania,Town,Town,No religious affiliation,National Liberal Arts College,37,3608,70.0,92,9,11263,3886,1027,1,40,50,50,31.0,38,35,26.0,35.0,1295,1450,17.0,29.0,33.0,54.0,90.0,7,32,29,853,468.0,55.0,33.0,8.0,46.0,16.0,5.0,3743.0,1736.0,64.0,6,,,77740.0,10.0,34.0,40.0,37.0,100.0,63.0,1861.0,63.0,21532.0,17072.0,24359.0,29865.0,50578.0,22269.0,0.0,,0.0,,0,0,3608,12.0,24,5,16.0,48,52,0,5,4,7,0,4,0,75,5.0,3.0,53.0,34.0,34.0,51.0,242.0,613.0,83,88,88,86.0,90.0,47200.0,90500.0,70800.0
Carleton College,44.461738,-93.155792,Private; non-profit,Northfield,Minnesota,Town,Town,No religious affiliation,National Liberal Arts College,6,2065,,95,8,7915,1389,555,2,0,46,54,18.0,17,18,40.0,35.0,1408,1550,34.0,31.0,35.0,70.0,93.0,,,,1061,235.0,22.0,17.0,13.0,42.0,28.0,5.0,1367.0,580.0,11.0,2,,,78315.0,14.0,44.0,64.0,59.0,100.0,41.0,759.0,38.0,14936.0,15081.0,15054.0,25038.0,44740.0,14479.0,7.0,2000.0,8.0,3412.0,8,3412,2065,16.0,21,10,13.0,48,52,0,10,6,9,0,8,2,56,5.0,2.0,17.0,40.0,27.0,31.0,125.0,315.0,87,91,91,91.0,92.0,30100.0,65000.0,54200.0
Centre College,37.645920,-84.779630,Private; non-profit,Danville,Kentucky,Town,Town,Presbyterian Church (USA),National Liberal Arts College,55,1401,,90,10,2567,1745,377,0,0,51,49,59.0,78,68,22.0,6.0,1235,1465,55.0,27.0,33.0,,,,,, ,,,,,,,,,,,,,,60700.0,20.0,44.0,,,,,,,12849.0,12870.0,16205.0,19225.0,27398.0,24817.0,,,,, , ,1401,20.0,62,5,5.0,49,51,0,5,5,7,0,4,2,72,3.0,1.0,32.0,30.0,24.0,42.0,92.0,157.0,85,86,86,83.0,90.0,31400.0,63800.0,45500.0
Colby College,44.563770,-69.662754,Private; non-profit,Waterville,Maine,Town,Town,No religious affiliation,National Liberal Arts College,24,2003,,94,10,15857,1407,667,5,0,44,56,9.0,9,9,47.0,40.0,1400,1530,28.0,32.0,34.0,,,,,, ,,,,,,,,,,,,,,78665.0,15.0,10.0,,,,,,,3982.0,4519.0,3314.0,15255.0,40947.0,18747.0,,,,, , ,2003,11.0,7,9,18.0,47,53,0,9,5,8,0,6,3,61,5.0,1.0,23.0,31.0,26.0,12.0,49.0,526.0,81,86,87,86.0,88.0,35400.0,78900.0,58100.0
Colgate University,42.815534,-75.540886,Private; non-profit,Hamilton,New York,Town,Town,No religious affiliation,National Liberal Arts College,18,2964,12.0,95,9,17540,3015,887,2,60,43,57,16.0,18,17,29.0,29.0,1350,1500,21.0,32.0,34.0,65.0,90.0,16,29,29,1223,494.0,40.0,15.0,7.0,56.0,16.0,2.0,3099.0,1820.0,0.0,0,,,80160.0,11.0,12.0,37.0,34.0,100.0,66.0,2080.0,66.0,10923.0,14024.0,15344.0,20853.0,45405.0,14534.0,0.0,,0.0,,0,0,2964,18.0,27,9,10.0,45,55,0,5,4,9,0,4,3,65,5.0,1.0,42.0,31.0,29.0,27.0,60.0,698.0,87,90,90,89.0,92.0,40400.0,77500.0,63600.0
Dartmouth College,43.704540,-72.288986,Private; non-profit,Hanover,New Hampshire,Town,Town,No religious affiliation,National University,12,4365,2147.0,98,7,28356,1750,1221,11,80,46,54,7.0,6,6,70.0,47.0,1440,1560,30.0,33.0,35.0,93.0,99.0,,,,2664,669.0,25.0,4.0,9.0,54.0,52.0,2.0,2669.0,2120.0,0.0,0,,,81501.0,17.0,20.0,57.0,50.0,100.0,50.0,2282.0,50.0,6376.0,7099.0,12297.0,18070.0,54195.0,12906.0,0.0,,0.0,,0,0,4365,17.0,3,11,8.0,51,49,1,15,6,10,0,6,2,49,9.0,4.0,38.0,56.0,52.0,59.0,208.0,808.0,86,92,94,91.0,96.0,42200.0,115500.0,75500.0
DePauw University,39.639582,-86.864330,Private; non-profit,Greencastle,Indiana,Town,Town,No religious affiliation,National Liberal Arts College,45,1944,,86,8,5695,3683,500,0,0,46,54,62.0,67,65,14.0,44.0,1160,1420,23.0,24.0,31.0,43.0,69.0,1,34,24,115,77.0,67.0,65.0,2.0,15.0,12.0,8.0,,,,,,,70394.0,18.0,34.0,69.0,58.0,96.0,42.0,-4.0,0.0,13670.0,14221.0,14281.0,21254.0,33735.0,23250.0,114.0,35510.0,96.0,31445.0,101,31445,1944,16.0,44,15,,48,52,0,3,6,9,0,2,2,62,6.0,2.0,22.0,19.0,28.0,14.0,53.0,364.0,79,82,83,81.0,85.0,33500.0,63100.0,54000.0
